symbol,price
NANOETH,0.00267000
NANOBNB,0.05589000
VIABTC,0.00001905
VIAETH,0.00085600
VIABNB,0.00958000
BLZBTC,0.00000521
BLZETH,0.00007793
BLZBNB,0.00054300
AEBTC,0.00000292
AEETH,0.00021900
AEBNB,0.00777000
RPXBTC,0.00000224
RPXETH,0.00005449
RPXBNB,0.00145700
NCASHBTC,0.00000005
NCASHETH,0.00000169
NCASHBNB,0.00006790
POABTC,0.00000096
POAETH,0.00004891
POABNB,0.00092100
ZILBTC,0.00000295
ZILETH,0.00004413
ZILBNB,0.00030500
ONTBTC,0.00002645
ONTETH,0.00039300
ONTBNB,0.00272800
STORMBTC,0.00000035
STORMETH,0.00001398
STORMBNB,0.00006550
QTUMBNB,0.09597000
QTUMUSDT,9.53200000
XEMBTC,0.00000459
XEMETH,0.00006835
XEMBNB,0.00244100
WANBTC,0.00002083
WANETH,0.00031040
WANBNB,0.00215600
WPRBTC,0.00000052
WPRETH,0.00004020
QLCBTC,0.00000115
QLCETH,0.00001711
SYSBTC,0.00000477
SYSETH,0.00011047
SYSBNB,0.00163500
QLCBNB,0.00092200
GRSBTC,0.00002344
GRSETH,0.00076455
ADAUSDT,1.53660000
ADABNB,0.00431500
CLOAKBTC,0.00015550
CLOAKETH,0.00414200
GNTBTC,0.00000678
GNTETH,0.00022071
GNTBNB,0.00243900
LOOMBTC,0.00000197
LOOMETH,0.00002940
LOOMBNB,0.00088500
XRPUSDT,0.86900000
BCNBTC,0.00000022
BCNETH,0.00000707
BCNBNB,0.00002000
REPBTC,0.00059980
REPETH,0.00890000
REPBNB,0.44670000
BTCTUSD,36801.06000000
TUSDBTC,0.00025971
ETHTUSD,2469.43000000
TUSDETH,0.00762097
TUSDBNB,0.06777000
ZENBTC,0.00232950
ZENETH,0.03466000
ZENBNB,0.24060000
SKYBTC,0.00003882
SKYETH,0.00222000
SKYBNB,0.03022000
EOSUSDT,5.04220000
EOSBNB,0.01415000
CVCBTC,0.00000779
CVCETH,0.00011644
CVCBNB,0.00211200
THETABTC,0.00023057
THETAETH,0.00344610
THETABNB,0.02387100
XRPBNB,0.00244200
TUSDUSDT,0.99980000
IOTAUSDT,1.15850000
XLMUSDT,0.33534000
IOTXBTC,0.00000069
IOTXETH,0.00001027
QKCBTC,0.00000053
QKCETH,0.00000798
AGIBTC,0.00000668
AGIETH,0.00007363
AGIBNB,0.00077200
NXSBTC,0.00001769
NXSETH,0.00077300
NXSBNB,0.01087000
ENJBNB,0.00359600
DATABTC,0.00000540
DATAETH,0.00008040
ONTUSDT,0.97430000
TRXBNB,0.00020470
TRXUSDT,0.07287000
ETCUSDT,58.22300000
ETCBNB,0.16335000
ICXUSDT,0.98550000
SCBTC,0.00000045
SCETH,0.00000669
SCBNB,0.00004660
NPXSBTC,0.00000003
NPXSETH,0.00000345
VENUSDT,0.00010000
KEYBTC,0.00000013
KEYETH,0.00000413
NASBTC,0.00001220
NASETH,0.00018010
NASBNB,0.02337000
MFTBTC,0.00000008
MFTETH,0.00000418
MFTBNB,0.00002923
DENTBTC,0.00000004
DENTETH,0.00000138
ARDRBTC,0.00000566
ARDRETH,0.00018870
ARDRBNB,0.00316800
NULSUSDT,0.51770000
HOTBTC,0.00000002
HOTETH,0.00000325
VETBTC,0.00000306
VETETH,0.00004571
VETUSDT,0.11282000
VETBNB,0.00031700
DOCKBTC,0.00000263
DOCKETH,0.00003283
POLYBTC,0.00000636
POLYBNB,0.00145900
PHXBTC,0.00000180
PHXETH,0.00005617
PHXBNB,0.00045600
HCBTC,0.00002000
HCETH,0.00513400
GOBTC,0.00000086
GOBNB,0.00069230
PAXBTC,0.00025175
PAXBNB,0.20121000
PAXUSDT,0.99960000
PAXETH,0.00888047
RVNBTC,0.00000196
RVNBNB,0.00020270
DCRBTC,0.00380500
DCRBNB,0.78100000
USDCBNB,0.21755000
MITHBTC,0.00000170
MITHBNB,0.00017600
BCHABCBTC,0.02933000
BCHSVBTC,0.01117900
BCHABCUSDT,220.08000000
BCHSVUSDT,58.90000000
BNBPAX,356.04000000
BTCPAX,36802.86000000
ETHPAX,2472.20000000
XRPPAX,0.88960000
EOSPAX,2.58450000
XLMPAX,0.04221000
RENBTC,0.00001256
RENBNB,0.00458500
BNBTUSD,355.38000000
XRPTUSD,0.86800000
EOSTUSD,5.02780000
XLMTUSD,0.06833000
BNBUSDC,356.06000000
BTCUSDC,36811.13000000
ETHUSDC,2471.51000000
XRPUSDC,0.86950000
EOSUSDC,5.03420000
XLMUSDC,0.04970000
USDCUSDT,0.99970000
ADATUSD,1.53620000
TRXTUSD,0.07269000
NEOTUSD,11.81800000
TRXXRP,0.08368000
XZCXRP,20.79200000
PAXTUSD,0.99950000
USDCTUSD,1.00000000
USDCPAX,1.00020000
LINKUSDT,23.07400000
LINKTUSD,23.04900000
LINKPAX,3.98340000
LINKUSDC,23.12300000
WAVESUSDT,14.06600000
WAVESTUSD,1.07200000
WAVESPAX,0.80290000
WAVESUSDC,1.20360000
BCHABCTUSD,220.20000000
BCHABCPAX,221.20000000
BCHABCUSDC,220.30000000
BCHSVTUSD,59.17000000
BCHSVPAX,58.18000000
BCHSVUSDC,57.50000000
LTCTUSD,171.78000000
LTCPAX,171.13000000
LTCUSDC,171.21000000
TRXPAX,0.07661000
TRXUSDC,0.07282000
BTTBTC,0.00000005
BTTBNB,0.00001019
BTTUSDT,0.00362810
BNBUSDS,22.27880000
BTCUSDS,9604.59000000
USDSUSDT,0.99680000
USDSPAX,1.00020000
USDSTUSD,1.00000000
USDSUSDC,1.00000000
BTTPAX,0.00038660
BTTTUSD,0.00362250
BTTUSDC,0.00362150
ONGBNB,0.00545000
ONGBTC,0.00002504
ONGUSDT,0.92350000
HOTBNB,0.00002262
HOTUSDT,0.00801300
ZILUSDT,0.10891000
ZRXBNB,0.01045000
ZRXUSDT,0.92050000
FETBNB,0.00081500
FETBTC,0.00000790
FETUSDT,0.29029000
BATUSDT,0.65920000
XMRBNB,0.72200000
XMRUSDT,257.11000000
ZECBNB,0.37710000
ZECUSDT,134.57000000
ZECPAX,42.10000000
ZECTUSD,51.48000000
ZECUSDC,135.02000000
IOSTBNB,0.00008170
IOSTUSDT,0.02914600
CELRBNB,0.00010000
CELRBTC,0.00000097
CELRUSDT,0.03561000
ADAPAX,0.03257000
ADAUSDC,1.53500000
NEOPAX,11.12200000
NEOUSDC,49.85100000
DASHBNB,0.47970000
DASHUSDT,170.42000000
NANOUSDT,6.61300000
OMGBNB,0.03938000
OMGUSDT,5.05510000
THETAUSDT,8.47900000
ENJUSDT,1.28290000
MITHUSDT,0.06264000
MATICBNB,0.00381090
MATICBTC,0.00003685
MATICUSDT,1.35745000
ATOMBNB,0.03572000
ATOMBTC,0.00034650
ATOMUSDT,12.77200000
ATOMUSDC,12.77200000
ATOMPAX,3.17800000
ATOMTUSD,2.59800000
ETCUSDC,4.71000000
ETCPAX,4.83800000
ETCTUSD,3.79500000
BATUSDC,0.65400000
BATPAX,0.25560000
BATTUSD,0.22220000
PHBBNB,0.00013700
PHBBTC,0.00000025
PHBUSDC,0.00587000
PHBTUSD,0.00960000
PHBPAX,0.00639000
TFUELBNB,0.00012590
TFUELBTC,0.00001417
TFUELUSDT,0.52030000
TFUELUSDC,0.00356500
TFUELTUSD,0.00307700
TFUELPAX,0.00348700
ONEBNB,0.00023210
ONEBTC,0.00000224
ONEUSDT,0.08264000
ONETUSD,0.00472000
ONEPAX,0.00496000
ONEUSDC,0.00520000
FTMBNB,0.00077900
FTMBTC,0.00000752
FTMUSDT,0.27697000
FTMTUSD,0.01095000
FTMPAX,0.01028000
FTMUSDC,0.01107000
BTCBBTC,1.00000000
BCPTTUSD,0.02606000
BCPTPAX,0.02761000
BCPTUSDC,0.02728000
ALGOBNB,0.00301600
ALGOBTC,0.00002905
ALGOUSDT,1.06940000
ALGOTUSD,1.01700000
ALGOPAX,0.20390000
ALGOUSDC,0.23800000
USDSBUSDT,0.99970000
USDSBUSDS,0.99990000
GTOUSDT,0.08071000
GTOPAX,0.01361000
GTOTUSD,0.01236000
GTOUSDC,0.01196000
ERDBNB,0.00083273
ERDBTC,0.00000168
ERDUSDT,0.01971000
ERDPAX,0.00125270
ERDUSDC,0.00135730
DOGEBNB,0.00015270
DOGEBTC,0.00000883
DOGEUSDT,0.32541000
DOGEPAX,0.00216820
DOGEUSDC,0.00212770
DUSKBNB,0.00118000
DUSKBTC,0.00000324
DUSKUSDT,0.11930000
DUSKUSDC,0.01790000
DUSKPAX,0.01890000
BGBPUSDC,1.39000000
ANKRBNB,0.00024920
ANKRBTC,0.00000242
ANKRUSDT,0.08883000
ANKRTUSD,0.00212800
ANKRPAX,0.00209300
ANKRUSDC,0.00209700
ONTPAX,0.84510000
ONTUSDC,0.57080000
WINBNB,0.00000128
WINBTC,0.00000001
WINUSDT,0.00045650
